geography,geography code,variable,language,value,percent
Clifford,E05000825,Main Language: Other European Language (EU): Estonian; measures: Value,Estonian,3,0.000266571885551804
Clifford,E05000825,Main Language: Other European Language (non EU): Ukrainian; measures: Value,Ukrainian,3,0.000266571885551804
Clifford,E05000825,Main Language: South Asian Language: Pakistani Pahari (with Mirpuri and Potwari); measures: Value,Pakistani Pahari (with Mirpuri and Potwari),3,0.000266571885551804
Clifford,E05000825,Main Language: South Asian Language: Tamil; measures: Value,Tamil,3,0.000266571885551804
Clifford,E05000825,Main Language: East Asian Language: Korean; measures: Value,Korean,3,0.000266571885551804
Clifford,E05000825,Main Language: African Language: Amharic; measures: Value,Amharic,3,0.000266571885551804
Clifford,E05000825,Main Language: African Language: Igbo; measures: Value,Igbo,3,0.000266571885551804
Clifford,E05000825,Main Language: African Language: Lingala; measures: Value,Lingala,3,0.000266571885551804
Clifford,E05000825,Main Language: Sign Language: Sign Language (all other); measures: Value,Sign Language (all other),3,0.000266571885551804
Clifford,E05000825,Main Language: Welsh/Cymraeg (in England only); measures: Value,Welsh/Cymraeg,2,0.000177714590367869
Clifford,E05000825,Main Language: Other UK language: Gaelic (Irish); measures: Value,Gaelic (Irish),2,0.000177714590367869
Clifford,E05000825,Main Language: Other European Language (EU): Swedish; measures: Value,Swedish,2,0.000177714590367869
Clifford,E05000825,Main Language: Other European Language (non EU): Northern European Language (non EU); measures: Value,Northern European Language (non EU),2,0.000177714590367869
Clifford,E05000825,Main Language: South Asian Language: Telugu; measures: Value,Telugu,2,0.000177714590367869
Clifford,E05000825,Main Language: South Asian Language: Sinhala; measures: Value,Sinhala,2,0.000177714590367869
Clifford,E05000825,Main Language: East Asian Language: Thai; measures: Value,Thai,2,0.000177714590367869
Clifford,E05000825,Main Language: Oceanic/Australian language (any); measures: Value,Oceanic/Australian language (any),2,0.000177714590367869
Clifford,E05000825,Main Language: African Language: Luganda; measures: Value,Luganda,2,0.000177714590367869
Clifford,E05000825,Main Language: African Language: Any other Nigerian language; measures: Value,Any other Nigerian language,2,0.000177714590367869
Clifford,E05000825,Main Language: Other UK language: Gaelic (Not otherwise specified); measures: Value,Gaelic (Not otherwise specified),1,0.0000888572951839346
Clifford,E05000825,Main Language: South Asian Language: Malayalam; measures: Value,Malayalam,1,0.0000888572951839346
Clifford,E05000825,Main Language: Caribbean Creole: Caribbean Creole (English-based); measures: Value,Caribbean Creole (English-based),1,0.0000888572951839346
Clifford,E05000825,Main Language: Other UK language: Gaelic (Scottish); measures: Value,,0,0
Clifford,E05000825,Main Language: Other UK language: Manx Gaelic; measures: Value,,0,0
Clifford,E05000825,Main Language: Other UK language: Cornish; measures: Value,,0,0
Clifford,E05000825,Main Language: Other UK language: Scots; measures: Value,,0,0
Clifford,E05000825,Main Language: Other UK language: Gypsy/Traveller languages; measures: Value,,0,0
Clifford,E05000825,Main Language: Other European Language (EU): Latvian; measures: Value,,0,0
Clifford,E05000825,Main Language: Other European Language (EU): Finnish; measures: Value,,0,0
Clifford,E05000825,Main Language: Other European Language (EU): Slovenian; measures: Value,,0,0
Clifford,E05000825,Main Language: Other European Language (EU): Maltese; measures: Value,,0,0
Clifford,E05000825,Main Language: Other European Language (EU): Any other European Language (EU); measures: Value,,0,0
Clifford,E05000825,Main Language: Other European Language (non EU): Albanian; measures: Value,,0,0
Clifford,E05000825,Main Language: Other European Language (non EU): Any other Eastern European Language (non EU); measures: Value,,0,0
Clifford,E05000825,Main Language: Other European Language (non-national): Romani language (any); measures: Value,,0,0
Clifford,E05000825,Main Language: Other European Language (non-national): Yiddish; measures: Value,,0,0
Clifford,E05000825,Main Language: West/Central Asian Language: Hebrew; measures: Value,,0,0
Clifford,E05000825,Main Language: South Asian Language: Marathi; measures: Value,,0,0
Clifford,E05000825,Main Language: South Asian Language: Nepalese; measures: Value,,0,0
Clifford,E05000825,Main Language: East Asian Language: Japanese; measures: Value,,0,0
Clifford,E05000825,Main Language: North/South American language (any); measures: Value,,0,0
Clifford,E05000825,Main Language: Caribbean Creole: Caribbean Creole (all other); measures: Value,,0,0
Clifford,E05000825,Main Language: African Language: Krio; measures: Value,,0,0
Clifford,E05000825,Main Language: African Language: Akan; measures: Value,,0,0
Clifford,E05000825,Main Language: African Language: Afrikaans; measures: Value,,0,0
Clifford,E05000825,Main Language: Sign Language: Any Sign Communication System; measures: Value,,0,0
,,total,,11254,
